iter	Passed	Remaining
1142	18042	21420
1143	18055	21401
1144	18071	21385
1145	18089	21372
1146	18103	21354
1147	18121	21341
1148	18134	21322
1149	18151	21308
1150	18170	21295
1151	18184	21278
1152	18198	21260
1153	18210	21240
1154	18228	21227
1155	18245	21212
1156	18258	21193
1157	18277	21181
1158	18291	21163
1159	18308	21149
1160	18322	21131
1161	18340	21117
1162	18352	21098
1163	18369	21083
1164	18384	21066
1165	18398	21049
1166	18415	21034
1167	18432	21020
1168	18450	21007
1169	18466	20991
1170	18482	20975
1171	18501	20964
1172	18519	20951
1173	18537	20937
1174	18554	20922
1175	18571	20908
1176	18588	20894
1177	18605	20879
1178	18623	20866
1179	18638	20850
1180	18658	20838
1181	18672	20821
1182	18688	20805
1183	18701	20786
1184	18719	20773
1185	18736	20758
1186	18754	20744
1187	18770	20729
1188	18786	20713
1189	18801	20697
1190	18815	20679
1191	18832	20664
1192	18848	20649
1193	18867	20637
1194	18880	20618
1195	18898	20605
1196	18914	20589
1197	18930	20574
1198	18948	20560
1199	18963	20543
1200	18981	20530
1201	18994	20511
1202	19012	20497
1203	19030	20484
1204	19047	20470
1205	19061	20452
1206	19077	20436
1207	19091	20418
1208	19105	20401
1209	19120	20384
1210	19134	20366
1211	19151	20352
1212	19167	20336
1213	19185	20323
1214	19203	20309
1215	19220	20295
1216	19237	20280
1217	19252	20263
1218	19269	20249
1219	19287	20235
1220	19300	20217
1221	19320	20205
1222	19339	20193
1223	19354	20177
1224	19370	20160
1225	19383	20142
1226	19402	20129
1227	19420	20115
1228	19436	20100
1229	19450	20082
1230	19466	20067
1231	19480	20049
1232	19496	20034
1233	19511	20017
1234	19529	20004
1235	19547	19989
1236	19559	19970
1237	19572	19952
1238	19585	19933
1239	19600	19916
1240	19615	19899
1241	19628	19881
1242	19645	19867
1243	19662	19852
1244	19675	19833
1245	19691	19817
1246	19708	19803
1247	19722	19785
1248	19734	19766
1249	19748	19748
1250	19764	19732
1251	19781	19718
1252	19797	19702
1253	19815	19689
1254	19828	19670
1255	19846	19656
1256	19860	19639
1257	19876	19623
1258	19889	19605
1259	19904	19588
1260	19918	19570
1261	19935	19556
1262	19952	19541
1263	19964	19522
1264	19981	19507
1265	19999	19493
1266	20016	19479
1267	20033	19464
1268	20047	19447
1269	20065	19433
1270	20081	19418
1271	20096	19401
1272	20109	19383
1273	20126	19368
1274	20143	19353
1275	20156	19335
1276	20173	19320
1277	20188	19303
1278	20205	19288
1279	20219	19271
1280	20234	19255
1281	20251	19240
1282	20268	19226
1283	20282	19208
1284	20298	19192
1285	20313	19176
1286	20327	19158
1287	20343	19142
1288	20359	19127
1289	20374	19110
1290	20390	19095
1291	20409	19082
1292	20426	19068
1293	20444	19054
1294	20459	19038
1295	20475	19021
1296	20492	19007
1297	20509	18993
1298	20524	18976
1299	20539	18959
1300	20557	18945
1301	20571	18928
1302	20587	18912
1303	20601	18895
1304	20618	18880
1305	20632	18863
1306	20648	18847
1307	20665	18832
1308	20682	18818
1309	20697	18801
1310	20714	18786
1311	20728	18769
1312	20745	18754
1313	20758	18736
1314	20771	18718
1315	20789	18704
1316	20803	18687
1317	20820	18672
1318	20836	18656
1319	20853	18641
1320	20868	18624
1321	20884	18609
1322	20898	18592
1323	20913	18575
1324	20927	18558
1325	20944	18543
1326	20960	18528
1327	20975	18511
1328	20990	18495
1329	21006	18479
1330	21021	18462
1331	21037	18446
1332	21052	18430
1333	21066	18413
1334	21080	18396
1335	21097	18381
